"spp1","spp2","spp3","spp4","spp5","spp6","spp7","spp8","spp9","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp20","spp21","spp22","spp23","spp24","spp25","spp26","spp27","spp28","spp29","spp30","spp31","spp32","spp33","spp34","spp35","spp36","spp37","spp38","spp39","spp40","spp41","spp42","spp43","spp44","spp45","spp46","spp47","spp48","spp49","spp50"
0,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,3,1,1,1,1,2,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,4,0,1,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,1,2,2,0,1,1,1,0,1,1,0,3,0,2,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,0,0,0
1,1,0,0,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,2,0,1
0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
2,3,1,0,0,0,0,1,1,3,1,5,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,5,0,1,0,1,0,0,1
0,1,1,1,1,0,1,0,1,2,0,1,0,0,2,2,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,2,2,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2
0,1,1,2,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,1,1
0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,2,1,1,0,0,0
1,1,1,0,1,1,2,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,2,1,1,0,0,0,0,1,2,1,1,1,2,0,0
0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,2,0,0,0,0,4,2
0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,3,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,1,1,1,2,2,0,1,0,0,0,2,0,0,0,0,1,1,1,0,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,1
1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1
1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0
0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,1,3,0,2,0,0,0,2,0,0,0,1,0,0,0,1
0,0,0,1,0,1,1,2,1,0,0,0,1,0,1,1,0,0,0,0,3,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,2,0,0,0,2,1,1,2,2,0,1,0
0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,2,0,0,1,0,0
0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,1,2,0,0,4,1,0,0,3,0,1,1,4,2
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,1,5,2,2,1,2,2,1,0,2,2,0,0,3
0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,2,0,0,0,0,0,1,2,2,0,1,1,1,3,0,1,2,1,1,1,1,3,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,2,1,2,0,0,2,1,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,2,1,0,0,2,1,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,2,0,1,1,1,0,5
2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0,1,1,0,2,1,6,0
1,0,1,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,1,0,3,4,0,0,3,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,0
0,0,0,1,1,1,0,0,1,0,2,0,0,1,0,0,0,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0
1,0,1,3,2,0,1,0,0,1,0,0,0,0,0,2,2,1,1,2,1,2,2,0,2,1,0,1,2,1,0,0,1,0,1,0,0,0,2,0,2,1,0,3,2,1,1,5,1,2
0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,3,0,0,1,1,2,0
0,0,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,1,0,0,2,0,0
1,0,2,3,0,0,0,1,0,1,0,0,0,0,0,2,3,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,0,0,0,2,1
0,2,1,1,0,1,0,0,1,1,0,2,0,2,1,1,0,1,0,0,2,1,2,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,1,0,2,1,3,1,2,0,1,1,0,0,1,1,1,1,2,0,0,0,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,3,0,1,2
0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2,1,0,1,1,1,0,3,0,3,2,1,2,1,0,0,1
1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0
1,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,2,1,2,0,0,1,0,1,2,1,2,0
0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,0,1,2,0,3,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,2,0,2,2,1,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,1,0
1,2,0,3,0,0,2,1,3,0,0,0,1,0,1,1,1,0,0,0,1,2,0,0,1,2,2,1,2,4,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,1,0,2,1
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,1,1,0,2,0,0,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,0,1,1,0,1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1,2,1,1,1,1,0,0
1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0
2,1,2,0,1,3,0,3,2,3,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,1,3,0
0,1,0,0,1,1,0,0,2,0,0,1,0,1,1,0,2,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,1,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,1,2,0
0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,2,0,0,1,0,2,0,3,2,3,0,2,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,2,1,0,2,0,0,1,1,0,0,0,0,0,3,0,0,1,0,1,1,1,1,0,0
2,1,2,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,0,1,0,1,0,1,0,2,0,0,0,2,2,0,1,0,0,0,1,0,1,1,1,3,0,2,1,0,0,1,2,0,1,0,0,1,1,0,1,1,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,2,0,2,0
1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2,1,0,1,1,1,0,0
0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,3,1,0,0,1,0,2,0,0,0,1,2,0,1,1,0,0,1,1,0,0,1
2,1,0,0,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,1,2,0,1,0,2,0,1,1,0,2,2,0,0,0,2,0,0,0,2,0,1
0,1,1,0,0,0,1,0,0,0,0,1,3,1,1,1,0,1,2,1,0,1,0,5,2,0,2,1,1,0,2,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,2,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,2,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,5,2,0,1,0,5,1,0,0,0,0,0,0,0,2,0,1
1,2,1,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,2,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,2,1,0,2,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0
1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,2,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,1,1,2,0,1,1,1,1,0,1,1,0,0,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,2,1,0,1
3,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,2,0,0,1,0,1,0,1
1,1,1,2,0,0,0,1,1,0,3,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0
1,0,1,0,1,2,2,3,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0
0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,0,1,2
0,1,1,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,2,3,1,0,0,0,0,1,0,0,2
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,2,1,3,1,0,1,0,0,0,1,0,0,0,1,0
1,0,0,1,1,1,0,0,1,1,0,2,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,2,1,2,1,1,1,0,1,0,1,3,1
2,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,1,1,2,1,2,1,3,1,1,2,3,1,1,2,1,1,0,2,2,0,2,2,0,0,0,0,1,1,1,0,0,1,1
1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,1,2,0,3,3,0,0,0,0,0,2,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,0,3,0,2,1,0,1,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,2,0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,2,3,2,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,2,0,0,2,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1
1,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,1,1,0,1,3,1,1,1,2,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
1,0,1,1,1,0,2,2,2,1,0,1,0,1,0,0,1,4,0,0,3,2,3,0,1,1,3,1,0,1,0,0,1,0,2,1,1,0,0,2,0,0,1,0,1,0,1,0,0,1
6,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,0,2,1,1,1,0
3,2,2,1,3,1,1,0,0,0,1,1,1,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0
0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,2,1,1,0,0,0,2,1,2,0,1
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,1,2,0,0,1,0,1,2,1,0,2,1,0,0,0,0,1,1,0,0,1,1,0
0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0,2,0,0,1,0,3,3,1,2,4,1,0,3,0,2
0,3,1,0,0,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,2,0,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,3,1,1,2
0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,2,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,1,1,0,0,0,1
1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,2,1,2,0,0,0,2,0,1,0,0,1,0,3,1,0,0,2,0,0,0,0,0,1,2,2,0,2,0,0,1,1,2
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0
0,0,2,0,0,0,1,1,0,0,1,0,2,0,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,2,1,1
1,0,0,0,0,2,1,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,3,3,0,2,0,2
2,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,2,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,3,1,0,0,0,1,0,1,1,0,1,3,3,1,1,1
0,1,2,1,1,0,1,0,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,2,0,2,1,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,2,1,2,3,1,1,0,2,0,1,1,0,0,0,1,0,1,0
1,0,1,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,2,2,4,0,1,2,1,0,1,1,1,2,1,1,1,0,2,3,1,3,2
0,0,2,0,0,0,3,0,0,2,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,3,0,1
0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,3,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,3,5,1,0,2
2,1,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,5,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,0,1,2,0,0,0,0,1,0,2,0,1,2,0,1,2,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0
0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,1,1,1,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,1,3,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,1
1,1,1,1,0,1,0,0,2,1,1,1,0,2,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,2,2,1,1,3,0,0,1,1,2,0,0,1,0,2,0,2,1,1
1,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,2,1,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,2,1,2,1,2,1,2,0,0,3,0,1
1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0
